Filas,Áreas Transaccionales Filas No.,Áreas Transaccionales Filas Descripción,Codigo Transacción Filas,Transacción filas,Código Productos (CUP),Productos (CUP),Código CPC Grupos,CPC Grupos,Código Productos Compactos,Productos Compactos,Código Bioeconomía Productos,Bioeconomía Productos,Código CUPc,CUPc,Código BCT,BCT
mp_f026,ATF01,Producción,P1,Producción,26,"Otros pescados, mariscos y algas",0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f027,ATF01,Producción,P1,Producción,27,Carbón,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f028,ATF01,Producción,P1,Producción,28,Petróleo crudo,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f029,ATF01,Producción,P1,Producción,29,Gas natural,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f030,ATF01,Producción,P1,Producción,30,Cobre,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f031,ATF01,Producción,P1,Producción,31,Minerales de molibdeno y sus concentrados,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f032,ATF01,Producción,P1,Producción,32,Hierro,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f033,ATF01,Producción,P1,Producción,33,Oro,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f034,ATF01,Producción,P1,Producción,34,Plata y otros metalíferos no ferrosos,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f035,ATF01,Producción,P1,Producción,35,Minerales no metálicos,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f036,ATF01,Producción,P1,Producción,36,Servicios de exploración minera,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f037,ATF01,Producción,P1,Producción,37,Carne de bovino,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f038,ATF01,Producción,P1,Producción,38,Carne de porcino,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f039,ATF01,Producción,P1,Producción,39,Carne de ave,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f040,ATF01,Producción,P1,Producción,40,Cecinas y otras carnes,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f041,ATF01,Producción,P1,Producción,41,Harina de pescado,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f042,ATF01,Producción,P1,Producción,42,Aceite de pescado,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f043,ATF01,Producción,P1,Producción,43,Salmon y trucha refrigerados o congelados  ,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f044,ATF01,Producción,P1,Producción,44,Otros pescados refrigerados o congelados  ,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f045,ATF01,Producción,P1,Producción,45,Conservas de pescados y mariscos,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f046,ATF01,Producción,P1,Producción,46,Conservas de frutas y vegetales,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f047,ATF01,Producción,P1,Producción,47,Otros aceites y grasas,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f048,ATF01,Producción,P1,Producción,48,Leche elaborada,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f049,ATF01,Producción,P1,Producción,49,Otros productos lácteos,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f050,ATF01,Producción,P1,Producción,50,Harina y subproductos de trigo,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f051,ATF01,Producción,P1,Producción,51,Arroz y otros productos de molinería,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f052,ATF01,Producción,P1,Producción,52,Alimento para peces,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f053,ATF01,Producción,P1,Producción,53,Alimento para aves,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f054,ATF01,Producción,P1,Producción,54,Otros alimentos para animales,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f055,ATF01,Producción,P1,Producción,55,Pan y otros productos de panadería,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f056,ATF01,Producción,P1,Producción,56,Fideos y pastas,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f057,ATF01,Producción,P1,Producción,57,Azúcar,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f058,ATF01,Producción,P1,Producción,58,Otros productos alimenticios,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f059,ATF01,Producción,P1,Producción,59,Piscos y otros licores,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f060,ATF01,Producción,P1,Producción,60,Vinos,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f061,ATF01,Producción,P1,Producción,61,Cervezas,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f062,ATF01,Producción,P1,Producción,62,Bebidas no alcohólicas,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f063,ATF01,Producción,P1,Producción,63,Productos de tabaco,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f064,ATF01,Producción,P1,Producción,64,Productos textiles,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f065,ATF01,Producción,P1,Producción,65,Prendas de vestir,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f066,ATF01,Producción,P1,Producción,66,Cueros y productos de cuero,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f067,ATF01,Producción,P1,Producción,67,Calzado,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f068,ATF01,Producción,P1,Producción,68,"Madera aserrada, cepillada y astillada",3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f069,ATF01,Producción,P1,Producción,69,Tableros y madera prensada,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f070,ATF01,Producción,P1,Producción,70,Otros productos de madera,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f071,ATF01,Producción,P1,Producción,71,Celulosa,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f072,ATF01,Producción,P1,Producción,72,Papel periódico,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f073,ATF01,Producción,P1,Producción,73,Envases de papel y cartón,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f074,ATF01,Producción,P1,Producción,74,Productos tissue,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f075,ATF01,Producción,P1,Producción,75,Otros papeles y cartones,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f076,ATF01,Producción,P1,Producción,76,"Libros, diarios, revistas y otros impresos",3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,1,Culturales,2,Resto productos
mp_f077,ATF01,Producción,P1,Producción,77,Diésel,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f078,ATF01,Producción,P1,Producción,78,Gasolinas,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f079,ATF01,Producción,P1,Producción,79,Kerosene,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f080,ATF01,Producción,P1,Producción,80,Aceites combustibles,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f081,ATF01,Producción,P1,Producción,81,Gas licuado y otros combustibles,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f082,ATF01,Producción,P1,Producción,82,Abonos y plaguicidas,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f083,ATF01,Producción,P1,Producción,83,Oxido de molibdeno,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f084,ATF01,Producción,P1,Producción,84,Otros productos químicos básicos,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f085,ATF01,Producción,P1,Producción,85,Pinturas y barnices,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f086,ATF01,Producción,P1,Producción,86,Productos farmacéuticos,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f087,ATF01,Producción,P1,Producción,87,Productos de aseo y cosméticos,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f088,ATF01,Producción,P1,Producción,88,Explosivos y detonadores,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f089,ATF01,Producción,P1,Producción,89,Otros productos químicos,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f090,ATF01,Producción,P1,Producción,90,Productos de caucho,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f091,ATF01,Producción,P1,Producción,91,Productos de plástico,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f092,ATF01,Producción,P1,Producción,92,Botellas de vidrio,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f093,ATF01,Producción,P1,Producción,93,Otros productos de vidrio,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f094,ATF01,Producción,P1,Producción,94,"Cemento, cal y yeso",3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f095,ATF01,Producción,P1,Producción,95,Hormigón premezclado,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f096,ATF01,Producción,P1,Producción,96,Mezclas asfálticas,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f097,ATF01,Producción,P1,Producción,97,Otros productos de minerales no metálicos,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f098,ATF01,Producción,P1,Producción,98,Ferromolibdeno y otros productos básicos de acero,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f099,ATF01,Producción,P1,Producción,99,Productos de hierro y acero,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f100,ATF01,Producción,P1,Producción,100,Productos básicos de metales no ferrosos,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f101,ATF01,Producción,P1,Producción,101,Productos metálicos de uso estructural,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f102,ATF01,Producción,P1,Producción,102,Otros productos metálicos,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f103,ATF01,Producción,P1,Producción,103,Maquinaria para uso industrial,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f104,ATF01,Producción,P1,Producción,104,Computadores y sus componentes,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f105,ATF01,Producción,P1,Producción,105,Otras maquinarias de oficina,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f106,ATF01,Producción,P1,Producción,106,Televisores,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,1,Culturales,2,Resto productos
mp_f107,ATF01,Producción,P1,Producción,107,Teléfonos móviles,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f108,ATF01,Producción,P1,Producción,108,Máquinas y aparatos de uso doméstico,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f109,ATF01,Producción,P1,Producción,109,Otras maquinarias y equipos eléctricos,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,1,Culturales,2,Resto productos
mp_f110,ATF01,Producción,P1,Producción,110,Automóviles,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f111,ATF01,Producción,P1,Producción,111,Buses,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f112,ATF01,Producción,P1,Producción,112,Otros vehículos automotores,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f113,ATF01,Producción,P1,Producción,113,Material de transporte marítimo y aéreo,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f114,ATF01,Producción,P1,Producción,114,Otros equipos de transporte terrestre y sus partes y piezas,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f115,ATF01,Producción,P1,Producción,115,Muebles,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f116,ATF01,Producción,P1,Producción,116,Otros productos manufacturados y desperdicios,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,1,Culturales,2,Resto productos
mp_f117,ATF01,Producción,P1,Producción,117,"Reparación e instalación de maquinaria y equipo, excepto de transporte",4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,1,Culturales,2,Resto productos
mp_f118,ATF01,Producción,P1,Producción,118,Servicios de mantenimiento y reparación de equipo de transporte,4,"Productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f119,ATF01,Producción,P1,Producción,119,Energía y potencia eléctrica,1,"Minerales; electricidad, gas y agua",4,Servicios básicos,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f120,ATF01,Producción,P1,Producción,120,Servicios de transmisión de electricidad,1,"Minerales; electricidad, gas y agua",4,Servicios básicos,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f121,ATF01,Producción,P1,Producción,121,Servicios de distribución de electricidad,1,"Minerales; electricidad, gas y agua",4,Servicios básicos,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f122,ATF01,Producción,P1,Producción,122,Gas distribuido por ductos,1,"Minerales; electricidad, gas y agua",4,Servicios básicos,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f123,ATF01,Producción,P1,Producción,123,Agua,1,"Minerales; electricidad, gas y agua",4,Servicios básicos,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f124,ATF01,Producción,P1,Producción,124,Servicios de eliminación de desperdicios y reciclaje,1,"Minerales; electricidad, gas y agua",4,Servicios básicos,2,Bioeconomía extendida,2,No culturales,2,Resto productos
mp_f125,ATF01,Producción,P1,Producción,125,Edificios residenciales,5,Construcciones y servicios de construcción,5,Construcción,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f126,ATF01,Producción,P1,Producción,126,Edificios no residenciales,5,Construcciones y servicios de construcción,5,Construcción,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f127,ATF01,Producción,P1,Producción,127,Obras viales,5,Construcciones y servicios de construcción,5,Construcción,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f128,ATF01,Producción,P1,Producción,128,Obras de proyectos de energía eléctrica,5,Construcciones y servicios de construcción,5,Construcción,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f129,ATF01,Producción,P1,Producción,129,Obras mineras,5,Construcciones y servicios de construcción,5,Construcción,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f130,ATF01,Producción,P1,Producción,130,Otras obras de ingeniería,5,Construcciones y servicios de construcción,5,Construcción,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f131,ATF01,Producción,P1,Producción,131,Servicios de construcción,5,Construcciones y servicios de construcción,5,Construcción,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f132,ATF01,Producción,P1,Producción,132,Servicios comerciales de intermediación automotriz,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",6,Comercio,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f133,ATF01,Producción,P1,Producción,133,Servicios comerciales de intermediación mayorista,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",6,Comercio,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f134,ATF01,Producción,P1,Producción,134,Servicios comerciales de intermediación minorista,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",6,Comercio,3,No bioeconomía,1,Culturales,1,BCT
mp_f135,ATF01,Producción,P1,Producción,135,Servicios comerciales a cambio de una retribución o por contrata,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",6,Comercio,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f136,ATF01,Producción,P1,Producción,136,Servicios de mantenimiento y reparación de vehículos automotores,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
